source,doc_type,source_discipline,reason_source_discipline
2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track,conferences,engineering,"""For the first time in its 42 years of history, ICSE – the premier conference in software engineering sponsored by ACM and IEEE CS is coming to Latin America. Please join us in Buenos Aires in May 20-28, 2017 to present, discuss and be inspired at the event where top minds in software engineering research, practice and education discuss the most recent innovations, trends, and experiences."" https://www.aconf.org/conf_104700.html"
2019 IEEE International Conference on Electro Information Technology (EIT),conferences,engineering,"""The 2025 IEEE International Conference on Electro/Information Technology (EIT) sponsored by IEEE Region 4 (R4) and hosted by Valparaiso University, is committed to advancing research and fostering innovation in the fields of electrical and computer engineering."" from the website the 2025 conference: https://www.eit-conference.org/."
2020 ASEE Virtual Annual Conference Content Access,conferences,engineering education,"""The Annual Conference is the single largest gathering of the year for ASEE members. For many who attend, it is their best opportunity to share their individual and collective work in engineering education. "" https://www.asee.org/events/Conferences-and-Meetings/2025-Annual-Conference"
2020 IEEE Global Engineering Education Conference (EDUCON),conferences,engineering education,"""The IEEE Global Engineering Education Conference (EDUCON) 2020 is the eleventh in a series of conferences that rotate among central locations in IEEE Region 8 (Europe, Middle East and North Africa). EDUCON is the flagship conference of the IEEE Education Society."" https://archive.educon-conference.org/educon2020/index.php"
2021 ASEE Virtual Annual Conference,conferences,engineering education,"""The Annual Conference is the single largest gathering of the year for ASEE members. For many who attend, it is their best opportunity to share their individual and collective work in engineering education. "" https://www.asee.org/events/Conferences-and-Meetings/2025-Annual-Conference"
2021 IEEE Global Engineering Education Conference (EDUCON),conferences,engineering education,"""The IEEE Global Engineering Education Conference (EDUCON) 2021 is the twelfth in a series of conferences that rotate among central locations in IEEE Region 8 (Europe, Middle East and North Africa). EDUCON is the flagship conference of the IEEE Education Society."" https://archive.educon-conference.org/educon2021/index.php"
2022 IEEE Global Engineering Education Conference (EDUCON),conferences,engineering education,"""The IEEE Global Engineering Education Conference (EDUCON) 2022 is the thirteenth in a series of conferences that rotate among central locations in IEEE Region 8 (Europe, Middle East and Africa). EDUCON is the flagship conference of the IEEE Education Society. 
Held every year since 2010, EDUCON provides an opportunity to scientists, professional engineers, and students to present their work, publish their results, exchange ideas and network for future scientific and industrial collaborations."" https://archive.educon-conference.org/educon2022/index.php"
ASEE 2022: American Society for Engineering Education Annual Conference and Exposition,conferences,engineering education,"""About ELD The Engineering Libraries Division of ASEE consists of librarians and information professionals concerned with the support of engineering education."" https://sites.asee.org/eld/conference-information/past-conferences/2022-annual-conference/"
"16th IEEE International Conference on Emerging eLearning Technologies and Applications, 2018",conferences,information science; education,"""Exchange of experiences in utilization of advanced ICT for education"" https://ewh.ieee.org/soc/ras/conf/financiallycosponsored/sii/SII2019/www.aconf.org/conf_161833.html"
"iConference 2021: Diversity, Divergence, Dialogue",conferences,information sciences,"""The iSchools represent an international organisation of over 130 universities on all inhabited continents. A common interest in all aspects of research and teaching about information unites them.... Major goals of the organisation are to support member universities in their research and teaching about all forms of information and its implications for our society."" https://www.ischools.org/about"
IEEE International Conference on Collaboration and Internet Computing,conferences,information technology,"""IEEE CIC has been conceived as the key multidisciplinary venue to serve as a premier international forum for discussion among academic and industrial researchers, practitioners, and students interested in Internet technologies, applications and services, collaborative networking, technology and systems, and applications. "" https://www.sis.pitt.edu/lersais/conference/cic/2024/"
MEDES '17: Proceedings of the 9th International Conference on Management of Digital EcoSystems,conferences,information technology,"""Due to the multi-disciplinary nature of digital ecosystems, they are highly complex to study and design. This also leads to a poor understanding as to how managing resources will empower digital ecosystems to be innovative, intelligent and value-creating. The application of Information Technologies has the potential to enable the understanding of how entities request resources and ultimately interact to create benefits and added-values, impacting business practices and knowledge. These technologies can be improved through novel techniques, models and methodologies for fields such as big data management, web technologies, networking, security, human-computer interactions, artificial intelligence, e-services and self-organizing systems to support the establishment of digital ecosystems and manage their resources."" https://medes.sigappfr.org/17/"
SIGITE '19: Proceedings of the 20th Annual SIG Conference on Information Technology Education,conferences,information technology,"""The 23rd ACM Conference on Information Technology Education (SIGITE 2022) will be hosted by Illinois Institute of Technology and will take place on the campus of Illinois Institute of Technology in Chicago, Illinois, September 21-24, 2022. The conference is sponsored by the ACM Special Interest Group for Information Technology Education (SIGITE). The conference pr!ovides a forum for sharing and developing ideas relating to Information Technology (IT) research, education, applications, IT industry-academia relationships, and our roles as professionals, educators, teachers, and advocates for the effective use of information technology."" https://www.sigite.org/?cat=6"
SIGITE '22: Proceedings of the 23rd Annual Conference on Information Technology Education,conferences,information technology,"""The theme for SIGITE 2019 is “Transforming IT Education.” IT Is a combination of Programming, Human Computer Interaction, Networking, Databases, and Web Technologies with an overarching security component. This unique blend of subjects is constantly changing, which makes for a unique challenge for IT educators to produce graduates ready for today’s workforce."" https://www.sigite.org/?cat=6"
2019 18th International Conference on Information Technology Based Higher Education and Training (ITHET),conferences,information technology; education,"""Advances in the technologies of our time have permanently altered the educational landscape and continue to have a tremendous impact on changes in teaching. Multimedia is becoming more present and more involved in education. To share the latest technologies and technical advances, the ITHET conference series was established in 2002 by the UNSECO Chair on Mechatronics of Bogazici University, Istanbul."" https://spirit.h2.de/spirit/en/ithet-information-technology-based-higher-education-and-training-2/"
ICIET 2020: Proceedings of the 2020 8th International Conference on Information and Education Technology,conferences,information technology; education,"""The fields of Information and Education Technology have seen an unprecedented pace of advancement in recent years, playing a transformative role in how knowledge is disseminated and consumed. These technologies have reimagined traditional educational paradigms, leading to more interactive, accessible, and efficient learning environments.

Information Technology, in the context of education, is revolutionizing the way we store, process, and communicate information, making it more accessible and meaningful. Advanced analytics, artificial intelligence, and cloud computing are some of the technological developments that have profoundly impacted the way educational institutions manage and use data, leading to more personalized and effective learning experiences. Education Technology, often termed EdTech, encompasses a broad array of tools, such as digital classrooms, interactive online courses, and AI-driven tutoring systems, all aimed at enhancing the learning process. Over time, these technologies have opened up new learning avenues, improved student engagement, and made education more inclusive. From machine learning algorithms that adapt to students' learning styles to VR applications that provide immersive learning experiences, the opportunities are limitless.

The convergence of Information and Education Technology has a profound impact on the way we perceive and approach education. As a forum dedicated to discussing these transformative changes, 2025 the 13th International Conference on Information and Education Technology (ICIET) will take place in Fukuyama, Japan, from April 18-20, 2025, which is co-sponsored by Fukuyama University, co-hosted by Shonan Institute of Technology. The conference will delve into the latest research findings, emerging trends, and innovative practices in these rapidly evolving fields."" https://www.iciet.org/index.html"
L@S '19: Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,conferences,information technology; education,"""L@S investigates large-scale, technology-mediated learning environments that typically have many active learners and few experts on hand to guide their progress or respond to individual needs. "" https://learningatscale.acm.org/las2019/call-for-papers/"
L@S '21: Proceedings of the Eighth ACM Conference on Learning @ Scale,conferences,information technology; education,"""L@S investigates large-scale, technology-mediated learning environments that typically have many active learners and few experts on hand to guide their progress or respond to individual needs. "" https://learningatscale.acm.org/las2019/call-for-papers/"
2019 IEEE Integrated STEM Education Conference (ISEC),conferences,STEM education,"""ISEC is known for featuring cutting-edge research and experiences with integrated approaches to the study of science, math, and technology through experiences and activities based in engineering and other design disciplines."" https://events.vtools.ieee.org/m/191493"
AVI-BDA 2016: Advanced Visual Interfaces. Supporting Big Data Applications,conferences,unclassifiable,This is the source for the paper we said was unclassiable because it wasn't for educators it was for software developers
